Year,Cities,Fish Consumption
2020,REMBANG,1.079
2020,PATI,0.962
2020,KUDUS,0.492
2020,JEPARA,0.598
2020,DEMAK,0.776
2020,SEMARANG,0.46
2020,TEMANGGUNG,0.777
2020,KENDAL,0.643
2020,BATANG,1.191
2020,PEKALONGAN,0.788
2020,PEMALANG,0.712
2020,TEGAL,0.538
2020,BREBES,0.371
2020,MAGELANG,0.397
2020,SURAKARTA,0.337
2020,SALATIGA,0.685
2020,SEMARANG,0.684
2020,PEKALONGAN,0.412
2020,TEGAL,0.467
2020,KULON PROGO,0.344
2020,BANTUL,0.392
2020,GUNUNG KIDUL,0.57
2020,SLEMAN,0.638
2020,YOGYAKARTA,0.424
2020,PACITAN,0.334
2020,PONOROGO,0.363
2020,TRENGGALEK,0.744
2020,TULUNGAGUNG,0.637
2020,BLITAR,0.554
2020,KEDIRI,0.464
2020,MALANG,0.599
2020,LUMAJANG,0.827
2020,JEMBER,0.907
2020,BANYUWANGI,0.582
2020,BONDOWOSO,1.264
2020,SITUBONDO,0.492
2020,PROBOLINGGO,0.573
2020,PASURUAN,0.784
2020,SIDOARJO,0.572
2020,MOJOKERTO,0.583
2020,JOMBANG,0.666
2020,NGANJUK,0.467
2020,MADIUN,0.515
2020,MAGETAN,0.407
2020,NGAWI,0.64
2020,BOJONEGORO,0.8
2020,TUBAN,1.433
2020,LAMONGAN,0.913
2020,GRESIK,0.665
2020,BANGKALAN,1.067
2020,SAMPANG,1.359
2020,PAMEKASAN,0.961
2020,SUMENEP,1.44
2020,KEDIRI,0.388
2020,BLITAR,0.575
2020,MALANG,0.524
2020,PROBOLINGGO,0.682
2020,PASURUAN,0.741
2020,MOJOKERTO,0.51
2020,MADIUN,0.489
2020,SURABAYA,0.687
2020,BATU,0.81
2020,PANDEGLANG,0.664
2020,LEBAK,0.993
2020,TANGERANG,0.84
2020,SERANG,0.675
2020,TANGERANG,0.718
2020,CILEGON,0.58
2020,SERANG,0.647
2020,TANGERANG SELATAN,0.726
2020,JEMBRANA,0.792
2020,TABANAN,0.807
2020,BADUNG,0.686
2020,GIANYAR,0.927
2020,KLUNGKUNG,0.705
2020,BANGLI,0.843
2020,KARANGASEM,1.36
2020,BULELENG,0.733
2020,DENPASAR,0.503
2020,LOMBOK BARAT,0.692
2020,LOMBOK TENGAH,1.044
2020,LOMBOK TIMUR,0.73
2020,SUMBAWA,0.828
2020,DOMPU,0.854
2020,BIMA,0.885
2020,SUMBAWA BARAT,0.914
2020,LOMBOK UTARA,0.787
2020,MATARAM,0.703
2020,BIMA,0.797
2020,SUMBA BARAT,0.393
2020,SUMBA TIMUR,0.465
2020,KUPANG,0.342
2020,TIMOR TENGAH SELATAN,0.331
2020,TIMOR TENGAH UTARA,0.379
2020,BELU,0.564
2020,ALOR,0.735
2020,LEMBATA,0.75
2020,FLORES TIMUR,0.879
2020,SIKKA,0.56
2020,ENDE,0.747
2020,NGADA,0.81
2020,MANGGARAI,0.497
2020,ROTE NDAO,0.467
2020,MANGGARAI BARAT,0.634
2020,SUMBA TENGAH,0.341
2020,SUMBA BARAT DAYA,0.377
2020,NAGEKEO,0.638
2020,MANGGARAI TIMUR,0.411
2020,SABU RAIJUA,0.437
2020,MALAKA,0.596
2020,KUPANG,0.581
2020,SAMBAS,0.917
2020,BENGKAYANG,0.792
2020,LANDAK,0.682
2020,MEMPAWAH,0.852
2020,SANGGAU,0.756
2020,KETAPANG,0.841
2020,SINTANG,0.736
2020,KAPUAS HULU,0.702
2020,SEKADAU,0.838
2020,MELAWI,0.641
2020,KAYONG UTARA,0.942
2020,KUBU RAYA,0.801
2020,PONTIANAK,0.817
2020,SINGKAWANG,0.898
2020,KOTAWARINGIN BARAT,0.791
2020,KOTAWARINGIN TIMUR,0.823
2020,KAPUAS,1.019
2020,BARITO SELATAN,1.137
2020,BARITO UTARA,0.915
2020,SUKAMARA,0.998
2020,LAMANDAU,0.841
2020,SERUYAN,0.85
2020,KATINGAN,1.073
2020,PULANG PISAU,1.05
2020,GUNUNG MAS,0.966
2020,BARITO TIMUR,1.039
2020,MURUNG RAYA,0.57
2020,PALANGKA RAYA,0.783
2020,TANAH LAUT,0.841
2020,KOTA BARU,1.003
2020,BANJAR,0.737
2020,BARITO KUALA,1.039
2020,TAPIN,1.018
2020,HULU SUNGAI SELATAN,0.903
2020,HULU SUNGAI TENGAH,0.846
2020,HULU SUNGAI UTARA,0.819
2020,TABALONG,0.886
2020,TANAH BUMBU,0.765
2020,BALANGAN,0.687
2020,BANJARMASIN,0.629
2020,BANJAR BARU,0.678
2020,PASER,0.922
2020,KUTAI BARAT,0.888
2020,KUTAI KARTANEGARA,0.717
2020,KUTAI TIMUR,0.895
2020,BERAU,1.051
