District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
TOMOHON,1.381,Sedang,66.82,11745,14708,6.51
KOTAMOBAGU,1.131,Sedang,66.82,10744,9902,4.79
BANGGAI KEPULAUAN,0.853,Sedang,62.04,7429,12576,8.80
BANGGAI,0.728,Rendah,62.04,9554,12239,6.66
MOROWALI,1.158,Sedang,62.04,10993,20217,9.56
POSO,0.739,Rendah,62.04,8808,13663,8.07
DONGGALA,0.661,Rendah,62.04,7960,10706,6.99
TOLI-TOLI,0.593,Rendah,62.04,7917,11987,7.87
BUOL,0.535,Rendah,62.04,7942,10765,7.05
PARIGI MOUTONG,0.711,Rendah,62.04,9641,10677,5.76
TOJO UNA-UNA,0.648,Rendah,62.04,7606,12016,8.21
SIGI,0.755,Rendah,62.04,8126,9137,5.85
BANGGAI LAUT,0.888,Sedang,62.04,7663,12353,8.38
MOROWALI UTARA,0.98,Sedang,62.04,8853,17356,10.19
PALU,0.602,Rendah,62.04,14839,12227,4.28
KEPULAUAN SELAYAR,0.828,Sedang,66,8970,15188,8.80
BULUKUMBA,0.705,Rendah,66,10513,13211,6.53
BANTAENG,0.839,Sedang,66,11632,13531,6.05
JENEPONTO,0.828,Sedang,66,9114,11565,6.60
TAKALAR,0.641,Rendah,66,10454,12024,5.98
GOWA,0.859,Sedang,66,9394,14695,8.13
SINJAI,0.918,Sedang,66,9439,13891,7.65
MAROS,0.599,Rendah,66,10963,15112,7.17
PANGKAJENE DAN KEPULAUAN,1.1,Sedang,66,11405,15560,7.09
BARRU,0.915,Sedang,66,10923,17293,8.23
BONE,0.774,Rendah,66,8963,10779,6.25
SOPPENG,0.997,Sedang,66,9483,11260,6.17
WAJO,0.938,Sedang,66,12386,14393,6.04
SIDENRENG RAPPANG,0.982,Sedang,66,12073,14840,6.39
PINRANG,0.703,Rendah,66,11844,14102,6.19
ENREKANG,0.85,Sedang,66,10844,12484,5.99
LUWU,0.791,Sedang,66,10014,14010,7.28
TANA TORAJA,1.012,Sedang,66,7217,10745,7.74
LUWU UTARA,0.816,Sedang,66,11562,13653,6.14
LUWU TIMUR,0.731,Rendah,66,12814,14264,5.79
TORAJA UTARA,0.591,Rendah,66,8097,12296,7.90
MAKASAR,0.74,Rendah,66,16873,18620,5.74
PAREPARE,0.939,Sedang,66,13663,14755,5.62
PALOPO,0.728,Rendah,66,12995,16174,6.47
BUTON,0.74,Rendah,70.51,7307,11734,8.35
MUNA,0.893,Sedang,70.51,8203,11965,7.58
KONAWE,1.018,Sedang,70.51,10126,14454,7.42
KOLAKA,1.204,Sedang,70.51,12515,18609,7.73
